S&P/ASX 200 Index (1 March 2020),,,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
ABP,Abacus Property Group FP Ordinary/Units Stapled Securities,Real Estate,"2,400,630,000",0.13,,"1,871,198,025,000",
ABC,Adelaide Brighton,Materials,"1,955,170,000",0.1,,,
APT,Afterpay Limited,Information Technology,"8,776,740,000",0.47,,Sector Breakdown,
AGL,AGL Energy Limited,Utilities,"12,230,500,000",0.65,,Consumer Discretionary,6.92
ALQ,Als Limited,Industrials,"4,033,080,000",0.22,,Consumer Staples,5.66
ALU,Altium Limited,Information Technology,"4,033,750,000",0.22,,Energy,4.92
AWC,Alumina Limited,Materials,"5,586,900,000",0.3,,Financials,29.06
AMC,Amcor Plc Cdi 1:1 Foreign Exempt NYSE,Materials,"14,946,100,000",0.8,,Health Care,11.66
AMP,AMP Limited,Financials,"5,756,300,000",0.31,,Industrials,8.15
ANN,Ansell Limited,Health Care,"3,852,750,000",0.21,,Information Technology,2.76
ANZ,ANZ Banking Group Limited,Financials,"70,422,300,000",3.76,,Materials,16.79
APE,AP Eagers Limited,Consumer Discretionary,"2,281,570,000",0.12,,Real Estate,7.7
APA,APA Group FP Units Stapled Securities,Utilities,"12,672,100,000",0.68,,Telecommunication Services,3.25
APX,Appen Limited,Information Technology,"2,520,570,000",0.13,,Utilities,1.86
ARB,ARB Corporation,Consumer Discretionary,"1,369,090,000",0.07,,,
ALL,Aristocrat Leisure,Consumer Discretionary,"21,142,200,000",1.13,,,
ASX,ASX Limited,Financials,"14,353,100,000",0.77,,,
ALX,Atlas Arteria Stap US Prohibited Excluding QUP,Industrials,"7,049,780,000",0.38,,,
AZJ,Aurizon Holdings Limited,Industrials,"9,432,820,000",0.5,,,
AST,Ausnet Services Limited,Utilities,"6,316,990,000",0.34,,,
ASB,Austal Limited,Industrials,"1,240,740,000",0.07,,,
AVH,Avita Medical Limited,Health Care,"1,270,480,000",0.07,,,
BOQ,Bank of Queensland,Financials,"3,402,970,000",0.18,,,
BAP,Bapcor Limited,Consumer Discretionary,"1,661,690,000",0.09,,,
BPT,Beach Energy Limited,Energy,"4,002,820,000",0.21,,,
BGA,Bega Cheese Limited,Consumer Staples,"867,692,000",0.05,,,
BEN,Bendigo and Adelaide,Financials,"4,529,210,000",0.24,,,
BHP,BHP Group Limited,Materials,"98,980,600,000",5.29,,,
BIN,Bingo Industries Limited,Industrials,"1,869,900,000",0.1,,,
BKL,Blackmores Limited,Consumer Staples,"1,119,040,000",0.06,,,
BSL,Bluescope Steel Limited,Materials,"5,975,400,000",0.32,,,
BLD,Boral Limited,Materials,"5,298,940,000",0.28,,,
BXB,Brambles Limited,Industrials,"18,472,000,000",0.99,,,
BVS,Bravura Solution Limited,Information Technology,"1,096,250,000",0.06,,,
BRG,Breville Group Limited,Consumer Discretionary,"2,535,930,000",0.14,,,
BKW,Brickworks Limited,Materials,"2,686,880,000",0.14,,,
BWP,BWP Trust Ordinary Units FP,Real Estate,"2,434,630,000",0.13,,,
CTX,Caltex Australia,Energy,"8,165,420,000",0.44,,,
CAR,Carsales.com Limited,,"3,973,260,000",0.21,,,
CGF,Challenger Limited,Financials,"5,562,730,000",0.3,,,
CHC,Charter Hall Group Stapled Securities US Prohibited,Real Estate,"5,812,900,000",0.31,,,
CQR,Charter Hall Retail Units FP,Real Estate,"2,186,920,000",0.12,,,
CNU,Chorus Limited Foreign Exempt NZX,Telecommunication Services,"2,835,300,000",0.15,,,
CLW,CHTR H LWR FP Units Stapled Securities,Real Estate,"2,712,900,000",0.14,,,
CIM,Cimic Group Limited,Industrials,"7,717,650,000",0.41,,,
CWY,Cleanaway Waste Limited,Industrials,"4,656,720,000",0.25,,,
CUV,Clinuvel Pharmaceut,Health Care,"878,022,000",0.05,,,
CCL,Coca-Cola Amatil,Consumer Staples,"8,318,760,000",0.44,,,
COH,Cochlear Limited,Health Care,"12,004,900,000",0.64,,,
COL,Coles Group,Consumer Staples,"18,955,100,000",1.01,,,
CKF,Collins Foods Limited,Consumer Discretionary,"1,025,910,000",0.05,,,
CBA,Commonwealth Bank,Financials,"144,770,000,000",7.74,,,
CPU,Computershare Limited,Information Technology,"8,286,280,000",0.44,,,
COE,Cooper Energy Limited,Energy,"788,924,000",0.04,,,
CTD,Corp Travel Limited,Consumer Discretionary,"1,519,470,000",0.08,,,
CGC,Costa Group Holdings,Consumer Staples,"1,186,340,000",0.06,,,
CCP,Credit Corp Group,Financials,"1,812,300,000",0.1,,,
CMW,Cromwell Prop FP Ordinary/Units Stapled Securities,Real Estate,"2,978,670,000",0.16,,,
CWN,Crown Resorts Limited,Consumer Discretionary,"6,879,930,000",0.37,,,
CSL,CSL Limited,Health Care,"140,449,000,000",7.51,,,
CSR,CSR Limited,Materials,"2,059,190,000",0.11,,,
DXS,Dexus FP Units Stapled Securities,Real Estate,"13,332,200,000",0.71,,,
DHG,Domain Holdings Aus,,"1,860,020,000",0.1,,,
DMP,Domino PIZZA Enterpr,Consumer Discretionary,"4,793,120,000",0.26,,,
DOW,Downer Edi Limited,Industrials,"3,389,800,000",0.18,,,
ELD,Elders Limited,Consumer Staples,"1,204,910,000",0.06,,,
EML,EML Payments Limited,Information Technology,"1,178,020,000",0.06,,,
EHE,Estia Health Limited,Health Care,"501,292,000",0.03,,,
EVN,Evolution Mining Limited,Materials,"6,885,790,000",0.37,,,
FPH,Fisher & Paykel H Foreign Exempt NZX,Health Care,"14,128,000,000",0.76,,,
FBU,Fletcher Building Foreign Exempt NZX,Materials,"4,134,430,000",0.22,,,
FLT,Flight Centre Travel,Consumer Discretionary,"3,299,040,000",0.18,,,
FMG,Fortescue Metals Group,Materials,"31,036,000,000",1.66,,,
GUD,G.U.D. Holdings,Consumer Discretionary,"922,500,000",0.05,,,
GEM,G8 Education Limited,Consumer Discretionary,"747,788,000",0.04,,,
GOR,Gold Road Res Limited,Materials,"1,274,410,000",0.07,,,
GMG,Goodman Group FP Ordinary/Units Stapled Securities,Real Estate,"27,389,600,000",1.46,,,
GPT,GPT Group FP Ordinary/Units Stapled Securities,Real Estate,"11,259,000,000",0.6,,,
GNC,Graincorp Limited Class A,Consumer Staples,"1,785,070,000",0.1,,,
GOZ,Growthpoint Property FP Ordinary/Units Stapled Securities,Real Estate,"3,295,500,000",0.18,,,
GWA,GWA Group Limited,Industrials,"863,109,000",0.05,,,
HVN,Harvey Norman,Consumer Discretionary,"4,622,680,000",0.25,,,
HLS,Healius,Health Care,"1,893,140,000",0.1,,,
HUB,HUB24 Limited,Financials,"631,604,000",0.03,,,
IEL,Idp Education Limited,Consumer Discretionary,"5,406,960,000",0.29,,,
IGO,IGO Limited,Materials,"3,113,500,000",0.17,,,
ILU,Iluka Resources,Materials,"3,524,360,000",0.19,,,
IPL,Incitec Pivot,Materials,"4,404,700,000",0.24,,,
INA,Ingenia Group FP Ordinary/Units Stapled Securities,Real Estate,"1,351,510,000",0.07,,,
ING,Inghams Group,Consumer Staples,"1,286,010,000",0.07,,,
IAG,Insurance Australia,Financials,"14,744,500,000",0.79,,,
IVC,Invocare Limited,Consumer Discretionary,"1,699,180,000",0.09,,,
IFL,IOOF Holdings Limited,Financials,"1,990,600,000",0.11,,,
